hole	core	sect	interv	MCD	age (kyrs)	cib 18O	cib 13C	bull 18O	 bull 13C 	%CaCO3	%IRD
982B	2	5	92-94	13.74	524.35			2.34	-0.29	85.00	1.2295
982B	2	5	97-99	13.79	525.93			1.85	-0.14	83.92	1.6393
982B	2	5	102-104	13.84	527.51			2.30	-0.41	87.50	1.0395
982B	2	5	107-109	13.89	529.09			2.49	-0.49	84.58	1.4257
982B	2	5	112-114	13.94	530.67			2.49	-0.15	87.75	0.4184
982B	2	5	117-119	13.99	532.17	3.06	0.97	2.51	-0.73	79.92	1.6427
982B	2	5	122-124	14.04	533.67	3.60	1.11	2.60	-0.59	62.00	4.3210
982B	2	5	127-129	14.09	535.17	3.52	1.07	2.48	-0.85	52.83	5.4825
982B	2	5	132-134	14.14	536.66	3.47	1.02	2.72	-0.75	41.75	6.9114
982B	2	5	137-139	14.19	538.15	4.06	1.13	2.77	-0.97	54.42	9.3478
982B	2	5	142-144	14.24	539.31	4.06	1.28	2.85	-0.72	60.33	8.6093
982B	2	5	147-149	14.29	540.46	3.66	1.09	2.83	-0.82	68.58	3.8217
982B	2	6	 2-4	14.34	541.62	3.86	0.85	2.73	-0.77	67.42	1.7467
982B	2	6	 7-9	14.39	542.77	3.62	0.96	2.72	-0.69	42.42	4.6838
982B	2	6	 12-14	14.44	543.92			2.74	-0.89	65.75	1.2959
982B	2	6	17-19	14.49	545.08	3.46	1.01	2.88	-0.80	75.33	1.0482
982B	2	6	22-24	14.54	546.23	3.46	1.27	2.81	-0.74	74.67	2.2422
982B	2	6	27-29	14.59	547.38	3.54	1.11	2.50	-0.91	71.58	1.4583
982B	2	6	32-34	14.64	548.54	3.63	1.15	2.64	-0.72	75.00	1.2238
982B	2	6	37-39	14.69	549.69	3.70	1.28	2.29	-0.55	64.33	0.6250
982B	2	6	42-44	14.74	551.76	3.43	1.15	2.37	-0.45	66.50	3.3613
982B	2	6	47-49	14.79	553.89	3.72	1.25	2.33	-0.56	61.75	1.4344
982B	2	6	52-54	14.84	556.02	3.25	0.97	2.00	-0.83	64.08	1.2526
982B	2	6	57-59	14.89	558.15	3.36	1.06	2.09	-0.68	58.58	1.6598
982B	2	6	62-64	14.94	560.28	2.78	0.89	2.26	-0.32	26.67	1.3015
982B	2	6	67-69	14.99	562.95			2.22	-0.48	73.58	1.0438
982B	2	6	72-74	15.04	565.69			1.90	-0.44	85.08	0.2075
982B	2	6	77-79	15.09	568.43	2.92	0.99	2.10	-0.39	87.17	0.4073
982B	2	6	82-84	15.14	571.17	2.39	0.96	1.69	-0.56	86.92	0.6148
982B	2	6	87-89	15.19	573.9			1.68	-0.36	78.67	0.4141
982B	2	6	92-94	15.24	576.64	3.43	1.16	1.67	-0.61	78.83	1.2397
982B	2	6	97-99	15.29	579.38	2.68	0.52	1.45	-0.58	79.00	2.5263
982B	2	6	102-104	15.34	582.12	3.48	1.22	1.83	-0.77	67.67	5.1546
982B	2	6	107-109	15.39	584.86	2.70	0.54	2.01	-0.83	66.67	3.1579
982B	2	6	112-114	15.44	587.6	3.75	1.13	2.15	-0.71	61.92	3.0501
982B	2	6	117-119	15.49	590.33	3.51	1.24	2.23	-0.51	65.42	1.9313
982B	2	6	122-124	15.54	593.07	2.96	1.08	2.48	-0.52	69.50	3.7037
982B	2	6	127-129	15.59	595.81			2.03	-0.33	70.83	1.6370
982B	2	6	132-134	15.64	598.55	2.98	1.14	1.54	0.13	63.17	2.3965
982B	2	6	137-139	15.69	601.29	2.73	0.99			49.25	1.6495
982B	2	6	142-144	15.74	604.02	2.50	0.98			77.67	2.2965
982B	2	6	147-149	15.79	606.76	2.81	0.98			68.00	3.3264
