ODP 927        
         
5¡27.7N 44¡28.8W 3326m       
         
Ceara Rise        
         
data Torsten Bickert (Uni Bremen)     
Bickert et al. (1997) Ocean Drill. Program Sci. Results. 154.
Site Hole Core Sect Type  top mcd d18O d13C species
927 B 4 H 6 96 34.17 3.03 0.83 C.wuellerstorfi
927 B 4 H 6 116 34.37 2.93 0.71 C.wuellerstorfi
927 B 4 H 6 126 34.47 2.60 0.76 C.wuellerstorfi
927 C 4 H 2 46 34.56 2.60 0.89 C.wuellerstorfi
927 C 4 H 2 56 34.66 2.73 0.92 C.wuellerstorfi
927 C 4 H 2 76 34.86 3.65 -0.25 C.wuellerstorfi
927 C 4 H 2 96 35.06 3.91 -0.32 C.wuellerstorfi
927 C 4 H 2 106 35.16 3.79 -0.17 C.wuellerstorfi
927 C 4 H 2 106 35.16 3.97 -0.55 C.wuellerstorfi
927 C 4 H 2 116 35.26 3.89 -0.10 C.wuellerstorfi
927 C 4 H 2 126 35.36 3.71 -0.01 C.wuellerstorfi
927 C 4 H 2 136 35.46 3.80 0.30 C.wuellerstorfi
927 C 4 H 2 146 35.56 3.48 0.31 C.wuellerstorfi
927 C 4 H 3 36 35.96 2.96 0.61 C.spp.
927 C 4 H 3 56 36.16 3.22 -0.35 C.wuellerstorfi
927 C 4 H 3 66 36.26 3.27 0.58 C.wuellerstorfi
927 C 4 H 3 76 36.36 2.94 0.52 C.kullenbergi
927 C 4 H 3 96 36.56 3.31 0.52 C.wuellerstorfi
927 C 4 H 3 116 36.76 2.69 0.65 C.wuellerstorfi
927 C 4 H 3 116 36.76 2.63 0.78 C.wuellerstorfi
927 C 4 H 4 6 37.16 2.73 0.17 C.wuellerstorfi
927 C 4 H 4 16 37.26 2.39 0.30 C.wuellerstorfi
927 C 4 H 4 26 37.36 3.97 -0.39 C.wuellerstorfi
927 C 4 H 4 36 37.46 3.99 -0.47 C.wuellerstorfi
927 C 4 H 4 46 37.56 4.02 -0.54 C.wuellerstorfi
927 C 4 H 4 56 37.66 2.93 0.84 C.wuellerstorfi
927 C 4 H 4 56 37.66 3.92 -0.11 C.wuellerstorfi
927 C 4 H 4 56 37.66 3.93 -0.43 C.wuellerstorfi
927 C 4 H 4 66 37.76 2.74 0.97 C.spp.
927 C 4 H 4 86 37.96 3.88 -0.41 C.wuellerstorfi
927 C 4 H 4 96 38.06 3.77 -0.58 C.wuellerstorfi
927 C 4 H 4 106 38.16 3.77 -0.26 C.wuellerstorfi
927 C 4 H 4 116 38.26 3.71 0.15 C.wuellerstorfi
927 C 4 H 4 116 38.26 3.42 0.76 C.wuellerstorfi
927 C 4 H 4 126 38.36 3.36 0.75 C.wuellerstorfi
927 C 4 H 4 136 38.46 3.39 0.66 C.wuellerstorfi
927 C 4 H 4 146 38.56 3.39 0.44 C.wuellerstorfi
927 C 4 H 5 6 38.66 3.11 0.60 C.wuellerstorfi
927 C 4 H 5 16 38.76 3.07 0.36 C.wuellerstorfi
927 C 4 H 5 16 38.76 3.06 0.55 C.wuellerstorfi
927 C 4 H 5 26 38.86 3.05 0.52 C.wuellerstorfi
927 C 4 H 5 66 39.26 3.22 -0.26 C.wuellerstorfi
927 C 4 H 5 76 39.36 3.32 -0.18 C.wuellerstorfi
927 C 4 H 5 96 39.56 3.44 -0.02 C.wuellerstorfi
927 C 4 H 5 106 39.66 2.87 0.84 C.wuellerstorfi
927 C 4 H 5 106 39.66 3.11 -0.08 C.wuellerstorfi
927 C 4 H 5 116 39.76 3.05 0.47 C.wuellerstorfi
927 C 4 H 5 126 39.86 2.80 0.74 C.wuellerstorfi
927 C 4 H 5 136 39.96 2.89 0.54 C.wuellerstorfi
927 C 4 H 5 146 40.06 2.65 0.80 C.kullenbergi
927 C 4 H 6 6 40.16 2.58 0.28 C.wuellerstorfi
927 C 4 H 6 6 40.16 2.28 0.90 C.wuellerstorfi
927 C 4 H 6 16 40.26 2.32 0.58 C.wuellerstorfi
927 C 4 H 6 26 40.36 2.28 0.71 C.wuellerstorfi
927 C 4 H 6 36 40.46 2.87 0.11 C.wuellerstorfi
927 B 5 H 3 126 40.56 3.69 0.73 C.wuellerstorfi
927 C 4 H 6 46 40.56 3.64 -0.02 C.wuellerstorfi
927 B 5 H 3 136 40.66 3.17 0.86 C.wuellerstorfi
927 B 5 H 3 146 40.76 3.47 0.80 C.wuellerstorfi
927 B 5 H 4 6 40.86 2.71 0.74 C.wuellerstorfi
927 B 5 H 4 16 40.96 2.81 0.86 C.wuellerstorfi
927 B 5 H 4 26 41.06 2.94 0.67 C.wuellerstorfi
927 B 5 H 4 36 41.16 2.97 0.42 C.wuellerstorfi
927 B 5 H 4 36 41.16 2.98 0.44 C.wuellerstorfi
927 B 5 H 4 46 41.26 3.13 0.11 C.wuellerstorfi
927 B 5 H 4 66 41.46 3.31 0.91 C.wuellerstorfi
927 B 5 H 4 76 41.56 3.21 0.79 C.wuellerstorfi
927 B 5 H 4 86 41.66 3.21 1.14 C.wuellerstorfi
927 B 5 H 4 96 41.76 2.88 1.06 C.wuellerstorfi
927 B 5 H 4 96 41.76 2.90 1.17 C.wuellerstorfi
927 B 5 H 4 106 41.86 2.95 0.94 C.wuellerstorfi
927 B 5 H 4 106 41.86 2.86 1.00 C.wuellerstorfi
927 B 5 H 4 126 42.06 3.00 0.91 C.wuellerstorfi
927 B 5 H 4 136 42.16 3.26 0.92 C.wuellerstorfi
927 B 5 H 5 5 42.35 3.32 0.56 C.wuellerstorfi
927 B 5 H 5 15 42.45 2.89 0.83 C.wuellerstorfi
927 B 5 H 5 35 42.65 2.91 1.01 C.wuellerstorfi
927 B 5 H 5 55 42.85 3.21 0.19 C.wuellerstorfi
927 B 5 H 5 75 43.05 3.69 0.75 C.wuellerstorfi
927 B 5 H 5 85 43.15 3.69 0.73 C.wuellerstorfi
927 B 5 H 5 95 43.25 3.52 0.62 C.wuellerstorfi
927 B 5 H 5 105 43.35 3.54 0.70 C.wuellerstorfi
927 B 5 H 5 115 43.45 3.55 0.56 C.wuellerstorfi
927 B 5 H 5 125 43.55 3.54 0.54 C.wuellerstorfi
927 B 5 H 5 135 43.65 3.44 -0.18 C.wuellerstorfi
927 B 5 H 6 15 43.95 3.37 0.19 C.wuellerstorfi
927 B 5 H 6 25 44.05 2.77 0.94 C.wuellerstorfi
927 B 5 H 6 35 44.15 2.30 1.06 C.wuellerstorfi
927 C 5 H 1 115 44.16 2.64 0.93 Cibicidoides.spp.
927 C 5 H 1 125 44.26 2.41 1.02 C.wuellerstorfi
927 C 5 H 1 135 44.36 2.71 1.04 C.wuellerstorfi
927 C 5 H 2 5 44.56 2.84 0.94 C.wuellerstorfi
927 C 5 H 2 15 44.66 3.15 0.99 C.wuellerstorfi
927 C 5 H 2 25 44.76 3.21 0.84 C.wuellerstorfi
927 C 5 H 2 35 44.86 3.11 0.33 C.wuellerstorfi
927 C 5 H 2 45 44.96 3.20 0.33 C.wuellerstorfi
927 C 5 H 2 55 45.06 3.63 -0.19 C.wuellerstorfi
927 C 5 H 2 65 45.16 3.29 0.46 C.wuellerstorfi
927 C 5 H 2 75 45.26 3.31 0.65 C.wuellerstorfi
927 C 5 H 2 85 45.36 3.16 0.85 C.wuellerstorfi
927 C 5 H 2 95 45.46 2.83 0.95 C.wuellerstorfi
927 C 5 H 2 105 45.56 3.04 0.95 C.wuellerstorfi
