ODP 1143  (Leg 184)			 	Scientific Results. Volume 184						
 LATITUDE: 9.3619 				X. Cheng. J. Tian. and P. Wang. Ms 184-221						
LONGITUDE: 113.2851				Table T2. Oxygen and carbon isotope data for benthic foraminifers. Site 1143.						
ELEVATION: -2772.3 m 										
										
Notes: C.wuellerstorfi = Cibicidoides wuellerstorfi. U.peregrina = Uvigerina peregrina. d13C and d18O given in reference to Peedee belemnite standard. * = adjustment factor as per Shackleton et al. (1995).										
										
Core.section. interval(cm)	Depth(mbsf)	Depth(mcd)	Age(ka)	Species	d13C(raw)	d13C_adjustment.factor	d18O(raw)	d18O_adjustment.factor	d13C(final)	d18O(final)
7H-3. 30-32	56.2	61.76	1252.49	C.wuellerstorfi	-0.645	0	3.651	0.64	-0.645	4.291
7H-3. 40-42	56.3	61.86	1256.76	C.wuellerstorfi	-0.651	0	3.534	0.64	-0.651	4.174
7H-3. 50-52	56.4	61.96	1259.95	C.wuellerstorfi	-0.462	0	3.112	0.64	-0.462	3.752
7H-3. 60-62	56.5	62.06	1261.92	C.wuellerstorfi	-0.381	0	3.667	0.64	-0.381	4.307
7H-3. 70-72	56.6	62.16	1263.77	C.wuellerstorfi	-0.3	0	3.698	0.64	-0.3	4.338
7H-3. 80-82	56.7	62.26	1265.62	C.wuellerstorfi	-0.419	0	3.494	0.64	-0.419	4.134
7H-3. 90-92	56.8	62.36	1267.46	C.wuellerstorfi	-0.287	0	3.568	0.64	-0.287	4.208
7H-3. 100-102	56.9	62.46	1269.31	C.wuellerstorfi	-0.49	0	3.6	0.64	-0.49	4.24
7H-3. 110-112	57	62.56	1271.15	C.wuellerstorfi	-0.152	0	3.34	0.64	-0.152	3.98
7H-3. 120-122	57.1	62.66	1273	C.wuellerstorfi	-0.271	0	3.286	0.64	-0.271	3.926
7H-3. 130-132	57.2	62.76	1275.01	C.wuellerstorfi	-0.019	0	3.067	0.64	-0.019	3.707
