# NOAA Paleoclimatology Program - Paleocean Site Data
# v19-30_isot-fwc.txt
# Isotope data only
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             SPECMAP Contributors
# Core/Site:      V19-30
# Latitude:       3.00.00S	( -3)
# Longitude:      83.00.00W	( -83)
# Water Depth(m): 3091
#
# Publications:
#   Imbrie, J., E.A. Boyle, S.C. Clemens, A. Duffy, W.R. Howard, G. Kukla, J. Kutzbach,
#     D.G. Martinson, A. McIntyre, A.C. Mix, B. Molfino, J.J. Morley, L.C. Peterson,
#     N.G. Pisias, W.L. Prell, M.E. Raymo, N.J. Shackleton, and J.R. Toggweiler. 1992.
#     On the structure and origin of major glaciation cycles. 1. Linear responses to
#     Milankovitch forcing. Paleoceanography 7:701-738.
#   Shackleton, N.J. 1987. Oxygen isotopes, ice volume and sea level. Quaternary
#     Science Reviews 6:183-190.
#   Shackleton, N.J., and N.G. Pisias. 1985. Atmospheric carbon dioxide, orbital
#     forcing, and climate. Pages 303-317 in E.T. Sundquist and W.S. Broecker, editors,
#     The Carbon Cycle and Atmospheric CO2: Natural Variations Archean to Present.
#     American Geophysical Union, Washington, D.C., USA.
#------------------
#
# Description & Notes:
#   Late Quaternary variations in ocean hydrography (SPECMAP)
#   
#
# V19-30 C14 Dates
# 
#   yrBP      radiocarbon years B.P. (Libby half-life; B.P. = 1950)
# 
#  Depth      yrBP          Error+        Error-        Notes
#  32.75       6090          180           180          GX8272
#  66.75       9935          270           270          GX8273
# 
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cforams-b  delta C13 PDB (Benthic Foraminifers)
#             d18Oforams-b  delta O18 PDB (Benthic Foraminifers)
#
# CORE: V19-30
depth         yrBP          d13Cforams-b  d18Oforams-b  
 1261          229500       -0.51          4.5          
 1264          230000       -0.52          4.48         
 1269          230800       -0.08          4.42         
 1282          233000       -0.22          4.31         
 1284          233500       -0.21          4.17         
 1287          234300       -0.17          3.94         
 1291          235400       -0.1           3.89         
 1294          236200       -0.02          3.67         
 1297          236900       -0.21          3.61         
 1301          238000       -0.33          3.68         
 1304          239000       -0.16          4.01         
 1307          240000       -0.42          3.78         
 1311          241300       -0.33          4.01         
 1314          242300       -0.33          4.37         
 1317          243200       -0.34          4.23         
 1321          244100       -0.26          4.87         
 1324          244700       -0.4           4.55         
 1327          245400       -0.51          4.78         
 1331          246200       -0.44          4.83         
 1334          246900       -0.65          4.8          
 1341          248400       -0.6           4.78         
 1344          249000       -0.5           4.88         
 1347          249700       -0.71          4.77         
 1351          250500       -0.65          4.7          
 1354          251200       -0.62          4.91         
 1357          251800       -0.61          4.68         
 1361          252700       -0.8           4.55         
 1364          253300       -0.81          4.74         
 1367          254000       -0.7           4.74         
 1371          254900       -0.74          4.67         
 1374          255500       -0.66          4.79         
 1377          256100       -0.71          4.7          
 1381          257000       -0.77          4.69         
 1384          257700       -0.86          4.69         
 1387          258300       -0.86          4.65         
 1391          259200       -0.84          4.6          
 1394          259800       -0.86          4.74         
 1397          260500       -0.78          4.68         
 1400          261100       -0.79          4.77         
 1403          261800       -1.05          4.71         
 1407          262600       -0.92          4.71         
 1411          263500       -0.92          4.73         
 1414          264100       -1.07          4.61         
 1417          264800       -0.97          4.76         
 1421          265600       -0.86          4.67         
 1424          266300       -0.85          4.79         
 1427          266900       -0.81          4.75         
 1431          267800       -0.8           4.66         
 1434          268400       -0.82          4.77         
 1437          269100       -0.71          4.81         
 1441          269900       -0.6           4.68         
 1451          272100       -0.59          4.49         
 1454          272700       -0.84          4.55         
 1457          273400       -0.62          4.44         
 1461          274300       -0.83          4.54         
 1464          274900       -0.78          4.61         
 1467          275600       -0.77          4.6          
 1471          276400       -0.76          4.62         
 1474          277100       -0.83          4.43         
 1477          277700       -0.71          4.53         
 1481          278600       -0.64          4.41         
